ВАЖНОСТЬ ПРИЗНАКОВ

Random Forest позволяет оценить, какие признаки чаще использовались деревьями для разделения операций.

Топ-10 важных признаков:
Feature  Importance
    V14    0.195748
    V10    0.115135
     V4    0.103432
    V12    0.099527
    V17    0.096988
     V3    0.069325
    V11    0.056396
    V16    0.042101
     V2    0.036275
     V9    0.025738

Важно: важность признака не означает причинно-следственную связь. Она показывает вклад признака в работу модели на данном датасете.
